PerNo,PerStatus
1,0
3,0
7,0
15,0
16,0
18,0
19,0
22,0
23,0
24,0
26,1
31,0
34,1
35,0
40,0
41,0
43,1
45,0
51,1
55,0
56,1
57,0
59,0
62,0
65,0
68,0
69,1
71,0
72,0
73,0
78,0
80,0
84,0
85,0
87,0
89,0
96,0
98,0
100,1
102,0
107,1
109,1
112,0
113,1
118,1
120,0
121,0
128,1
133,0
135,0
137,0
138,0
140,1
143,0
145,0
146,1
147,0
150,0
153,0
155,0
158,0
159,0
160,0
162,0
163,0
165,0
169,0
170,0
171,0
177,0
179,1
186,0
194,1
195,0
197,1
203,0
204,0
206,1
210,0
212,0
214,0
220,1
224,0
227,0
235,0
238,1
241,0
243,0
244,1
245,0
249,0
252,0
259,1
260,1
266,0
267,1
269,1
271,1
272,0
273,0
274,0
276,0
281,0
282,0
283,0
287,0
289,1
290,0
291,0
294,0
302,0
303,0
306,0
309,0
311,0
313,0
318,0
321,0
322,0
325,0
327,1
332,0
333,1
334,0
338,0
339,0
341,1
342,0
343,0
344,0
345,1
349,1
350,0
352,1
353,0
355,0
358,0
361,0
364,1
365,0
366,0
368,0
369,1
372,0
376,0
377,0
378,0
379,1
380,0
382,0
385,0
387,0
389,0
392,1
394,1
398,0
402,0
403,0
405,0
408,0
410,0
412,0
413,0
414,0
421,0
424,1
425,0
426,0
429,0
430,0
435,0
438,0
439,0
447,0
448,0
452,1
455,0
456,0
458,0
462,0
465,0
468,0
469,0
470,0
471,0
475,1
477,0
478,0
479,0
484,0
488,1
489,0
494,0
496,1
498,0
499,0
503,0
505,0
508,0
514,0
520,0
522,0
523,1
525,0
530,0
534,0
535,0
537,1
540,0
545,0
552,0
554,0
555,0
557,0
559,0
561,0
567,0
569,1
574,0
576,1
583,0
585,0
586,0
589,0
590,0
594,0
597,0
598,0
599,1
603,0
604,0
609,0
614,0
619,0
621,0
622,0
623,0
629,0
633,0
634,0
636,0
637,1
641,0
643,0
648,0
649,0
650,0
651,0
656,0
658,0
659,1
660,0
662,0
663,1
664,0
666,0
667,0
670,0
671,0
672,0
675,0
676,0
677,0
678,0
679,1
684,0
686,0
694,1
699,0
703,0
707,0
709,0
711,0
713,0
718,1
723,0
728,0
730,0
731,0
732,0
734,1
735,0
736,0
737,0
739,0
740,0
741,1
743,0
744,0
748,0
749,1
750,1
751,0
754,0
755,0
756,1
760,0
762,0
764,0
766,0
767,0
769,0
770,0
771,0
772,1
774,0
779,0
781,0
782,0
783,1
784,0
785,0
786,1
789,1
790,0
791,0
792,0
795,1
797,1
798,0
799,1
800,0
802,1
805,0
807,0
808,0
811,0
812,0
817,1
821,0
823,0
827,1
829,0
831,0
834,0
836,1
837,1
839,0
840,0
841,0
842,0
844,0
845,0
849,0
850,0
854,1
855,0
856,1
857,0
867,0
871,0
874,0
877,0
881,0
882,0
883,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
895,0
898,1
901,0
903,0
905,0
907,0
909,1
910,0
911,0
914,0
919,0
922,1
923,1
925,1
926,0
927,0
929,0
930,1
935,0
936,0
937,0
938,0
939,1
940,1
944,0
945,0
947,1
948,0
955,0
957,0
961,1
962,0
963,0
964,0
970,0
971,0
979,0
980,0
981,0
983,0
984,1
990,1
991,0
993,1
995,0
999,0
1002,1
1004,0
1005,1
1007,0
1008,1
1010,0
1011,0
1012,0
1013,0
1014,0
1016,0
1017,1
1018,1
1023,0
1026,0
1027,1
1029,0
1030,0
1032,0
1034,0
1035,0
1037,0
1039,0
1047,0
1048,0
1050,0
1053,0
1054,0
1056,0
1058,0
1060,0
1063,0
1066,0
1067,1
1068,0
1070,0
1071,0
1072,0
1075,0
1079,1
1080,0
1081,0
1083,0
1087,1
1088,0
1090,0
1093,0
1095,0
1102,0
1105,1
1109,0
1112,0
1113,0
1115,0
1117,1
1121,0
1123,0
1126,1
1128,1
1130,1
1131,1
1136,0
1138,0
1140,0
1141,0
1143,0
1145,0
1147,0
1153,0
1154,0
1155,0
1157,0
1161,0
1165,0
1167,0
1170,0
1171,0
1172,0
1173,1
1175,0
1177,1
1179,0
1180,1
1182,0
1184,0
1186,1
1188,1
1189,1
1192,0
1198,0
1200,0
1201,0
1203,0
1216,1
1219,0
1222,1
1224,1
1227,0
1228,1
1229,0
1230,0
1232,0
1233,1
1235,0
1236,0
1237,0
1239,1
1240,0
1242,0
1243,0
1244,0
1245,0
1250,1
1251,0
1254,0
1259,0
1261,0
1262,1
1264,0
1265,0
1268,0
1269,0
1271,0
1273,0
1275,0
1280,0
1286,1
1289,0
1292,0
1293,0
1294,0
1301,1
1303,0
1306,0
1308,1
1311,1
1316,0
1318,0
1319,0
1320,0
1323,1
1324,1
1325,0
1326,0
1328,0
1329,0
1331,0
1332,1
1334,0
1342,0
1344,1
1351,1
1353,0
1357,0
1359,0
1363,0
1364,0
1369,0
1371,0
1383,1
1384,0
1387,0
1391,0
1393,1
1396,0
1401,0
1403,0
1409,0
1411,0
1415,0
1417,0
1425,0
1428,0
1431,1
1437,0
1440,0
1441,0
1443,0
1445,0
1447,0
1450,0
1452,1
1455,0
1461,0
1462,0
1466,0
1470,0
1476,0
1479,0
1483,0
1486,0
1489,1
1491,1
1499,0
1502,0
1503,0
1504,0
1508,0
1509,0
1511,0
1512,0
1513,0
1516,0
1519,0
1522,0
1525,1
1528,0
1530,0
1533,0
1534,0
1535,1
1540,1
1542,0
1543,0
1544,0
1547,0
1548,0
1557,1
1560,0
1564,0
1566,0
1569,0
1572,0
1574,0
1580,0
1583,1
1584,0
1586,0
1587,0
1600,1
1601,0
1605,0
1607,0
1608,0
1609,1
1611,0
1613,1
1617,0
1627,1
1628,0
1630,0
1632,0
1638,0
1647,0
1649,1
1651,1
1652,0
1653,0
1655,0
1656,0
1660,1
1663,0
1666,0
1667,0
1668,0
1669,0
1670,0
1674,0
1675,1
1680,0
1685,0
1688,0
1691,0
1693,0
1694,0
1698,0
1705,1
1706,0
1709,1
1712,0
1713,0
1714,1
1716,0
1722,0
1724,0
1728,0
1729,1
1736,0
1738,0
1739,0
1741,0
1742,0
1743,1
1744,0
1745,1
1747,1
1748,1
1749,1
1750,0
1751,0
1755,0
1756,0
1757,0
1761,0
1766,1
1771,0
1775,1
1779,0
1782,0
1783,0
1784,0
1785,0
1786,0
1790,1
1793,0
1796,1
1797,1
1805,1
1806,0
1807,0
1809,0
1812,0
1813,0
1815,0
1817,0
1822,0
1824,0
1826,1
1828,0
1829,0
1831,0
1832,0
1833,0
1834,1
1835,0
1836,0
1837,0
1838,0
1839,0
1840,1
1841,1
1843,0
1845,0
1846,0
1847,0
1850,0
1851,0
1854,1
1855,0
1858,1
1859,0
1860,0
1863,0
1864,0
1872,0
1875,0
1879,0
1880,0
1882,0
1885,0
1891,0
1892,0
1893,0
1896,0
1897,0
1898,0
1901,0
1903,0
1904,0
1905,1
1906,0
1907,0
1908,0
1909,1
1910,0
1911,0
1913,0
1914,0
1915,0
1917,0
1920,0
1926,0
1927,0
1930,0
1931,0
1935,1
1940,0
1944,0
1946,0
1951,1
1953,0
1957,0
1959,0
1962,0
1964,1
1965,1
1966,1
1970,0
1971,0
1972,0
1974,1
1976,0
1978,0
1980,0
1981,0
1984,0
1986,0
1989,0
1991,1
1992,0
1993,0
1994,0
1996,0
1998,0
2001,0
2002,0
2013,1
2016,0
2017,0
2021,1
2022,0
2023,0
2024,0
2025,1
2027,0
2032,0
2034,0
2036,0
2039,0
2041,0
2043,0
2045,0
2049,0
2050,0
2058,1
2063,1
2064,0
2065,0
2066,0
2068,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2080,0
2085,0
2088,0
2091,0
2095,0
2096,1
2097,0
2098,0
2099,0
2100,0
2101,0
2105,0
2106,0
2108,0
2109,0
2110,0
2113,0
2117,0
2118,0
2121,0
2122,0
2125,0
2129,0
2133,0
2134,0
2135,0
2137,0
2141,0
2143,0
2144,0
2145,0
2146,0
2148,0
2151,0
2152,0
2154,0
2156,1
2158,0
2159,0
2162,0
2164,0
2169,1
2176,0
2177,0
2178,0
2179,1
2181,0
2183,0
2190,0
2193,0
2194,0
2195,1
2196,1
2202,0
2206,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2223,0
2224,0
2225,0
2227,0
2228,0
2234,1
2235,0
2237,1
2238,0
2245,0
2252,0
2253,0
2254,0
2255,0
2259,1
2260,1
2261,0
2262,1
2263,0
2265,0
2266,0
2268,0
2269,0
2271,0
2272,1
2282,0
2285,0
2286,0
2288,0
2291,0
2293,0
2294,0
2296,0
2298,1
2299,0
2300,0
2303,1
2305,0
2306,0
2311,1
2312,0
2313,0
2315,0
2316,0
2317,0
2318,0
2327,0
2329,0
2333,1
2334,0
2339,0
2341,1
2346,0
2349,1
2351,1
2353,0
2354,1
2356,0
2357,0
2360,0
2364,0
2365,0
2366,0
2369,1
2373,0
2374,0
2375,0
2377,0
2379,0
2383,0
2385,1
2389,0
2390,0
2395,0
2396,0
2399,0
2400,0
2401,0
2403,0
2404,0
2406,1
2408,1
2409,0
2411,0
2414,0
2415,0
2418,0
2419,0
2421,1
2423,0
2427,0
2430,0
2431,0
2433,0
2437,1
2439,0
2443,0
2444,0
2448,0
2450,0
2451,0
2454,0
2455,1
2458,0
2463,0
2465,0
2469,0
2471,1
2473,0
2474,0
2476,0
2477,0
2479,0
2486,0
2488,0
2490,0
2491,0
2492,0
2496,0
2498,0
2499,0
2502,0
2505,0
2506,0
2507,0
2509,0
2510,0
2515,0
2521,1
2525,0
2527,0
2529,0
2530,0
2531,1
2533,0
2535,0
2537,0
2538,0
2539,1
2541,0
2542,0
2543,0
2544,1
2547,0
2550,0
2551,0
2552,0
2555,0
2558,0
2561,0
2564,0
2567,0
2571,0
2574,0
2578,0
2580,0
2581,0
2582,0
2586,1
2588,0
2590,0
2591,0
2592,0
2594,0
2595,0
2596,0
2601,0
2603,1
2607,0
2608,0
2611,1
2613,0
2619,0
2620,0
2623,0
2624,0
2625,0
2626,0
2627,0
2629,0
2630,0
2632,1
2634,1
2638,0
2642,0
2643,0
2644,0
2647,0
2648,0
2650,0
2652,0
2657,0
2659,1
2663,0
2664,0
2665,0
2667,0
2668,0
2670,0
2672,0
2673,1
2674,0
2675,0
2677,0
2679,0
2690,0
2694,0
2698,0
2699,0
2701,0
2702,0
2703,0
2705,0
2707,0
2711,0
2714,0
2716,0
2723,0
2724,0
2725,0
2726,0
2727,0
2730,0
2731,0
2733,1
2736,0
2738,0
2739,0
2740,1
2742,0
2745,0
2746,0
2747,1
2750,0
2752,0
2754,0
2757,0
2760,0
2764,1
2765,0
2767,0
2770,0
2771,0
2774,0
2779,0
2786,0
2787,1
2790,0
2791,1
2797,0
2799,0
2803,0
2804,0
2807,0
2808,0
2809,0
2810,1
2813,0
2820,0
2824,1
2825,0
2826,0
2828,0
2831,0
2832,0
2833,0
2837,0
2838,0
2839,0
2841,0
2842,0
2843,0
2844,1
2846,0
2849,0
2851,0
2853,0
2857,1
2858,0
2860,0
2862,0
2863,0
2864,0
2865,0
2869,0
2873,0
2876,0
2880,0
2882,0
2886,0
2888,0
2894,1
2902,0
2906,0
2908,0
2909,0
2912,0
2913,1
2914,0
2919,0
2921,0
2923,0
2926,0
2927,0
2929,0
2931,0
2933,0
2934,0
2935,0
2938,0
2940,0
2945,0
2946,0
2949,0
2954,1
2960,0
2961,0
2963,0
2964,0
2966,0
2970,0
2973,1
2975,0
2979,0
2980,0
2981,0
2982,0
2987,0
2989,0
2991,0
2993,0
2995,1
2996,0
2997,0
3002,0
3003,0
3005,0
3008,0
3009,0
3011,0
3013,0
3016,0
3020,1
3021,0
3022,0
3023,0
3027,0
3028,0
3029,1
3031,0
3034,0
3041,0
3042,0
3044,0
3047,0
3049,0
3050,0
3051,0
3059,0
3060,0
3061,0
3063,1
3064,1
3066,0
3071,0
3074,0
3075,0
3076,0
3078,1
3079,0
3083,1
3085,0
3086,0
3087,0
3088,0
3092,0
3093,0
3095,0
3097,0
3098,0
3102,1
3109,0
3111,0
3114,0
3123,0
3125,0
3126,1
3129,1
3130,1
3131,0
3138,0
3140,0
3142,0
3146,0
3151,0
3152,0
3154,0
3159,0
3160,0
3161,0
3162,0
3165,0
3166,1
3171,0
3175,0
3176,0
3178,0
3179,0
3184,0
3186,0
3187,0
3190,0
3192,0
3193,0
3196,0
3198,0
3200,0
3201,0
3202,0
3204,0
3205,0
3206,0
3207,1
3208,1
3209,0
3212,0
3214,0
3221,0
3222,1
3225,1
3229,0
3231,0
3234,0
3237,0
3238,1
3239,0
3240,0
3241,0
3242,0
3246,0
3247,1
3251,0
3253,1
3254,1
3255,0
3257,1
3258,0
3259,1
3260,0
3261,0
3262,0
3263,0
3268,0
3269,0
3272,0
3273,0
3275,0
3278,1
3279,1
3283,0
3286,0
3288,0
3289,0
3294,1
3298,0
3299,0
3300,0
3301,0
3302,0
3303,0
3304,0
3307,0
3310,0
3311,1
3314,0
3318,0
3319,1
3320,0
3322,0
3325,0
3326,1
3327,1
3331,0
3333,0
3334,0
3338,1
3339,0
3340,1
3343,1
3344,1
3345,0
3352,0
3355,0
3357,0
3359,1
3360,0
3363,0
3364,0
3365,1
3367,0
3368,0
3369,1
3371,0
3373,0
3374,1
3375,0
3377,0
3378,0
3384,0
3388,0
3390,0
3393,0
3394,0
3397,0
3402,0
3404,0
3406,0
3409,0
3412,1
3413,0
3414,0
3415,0
3419,0
3420,1
3423,0
3431,1
3433,0
3440,1
3444,1
3445,1
3446,0
3448,0
3449,0
3450,0
3454,0
3455,1
3459,0
3462,0
3463,0
3464,0
3465,0
3468,1
3469,0
3476,0
3479,0
3481,0
3484,0
3488,0
3489,0
3492,0
3495,0
3497,1
3498,0
3499,0
3500,1
3501,0
3502,0
3503,0
3507,1
3510,0
3514,0
3515,1
3516,0
3520,0
3521,0
3524,0
3525,0
3526,0
3527,0
3528,0
3533,1
3534,0
3535,1
3536,1
3538,0
3541,0
3546,0
3549,1
3551,1
3552,0
3553,0
3556,1
3558,0
3559,0
3561,0
3563,0
3566,1
3574,0
3575,1
3578,1
3580,1
3582,0
3585,0
3588,0
3589,0
3593,0
3594,0
3595,0
3599,0
3600,0
3601,0
3603,0
3607,1
3608,0
3610,1
3611,1
3613,0
3615,0
3619,1
3620,0
3621,0
3625,0
3629,0
3630,1
3631,0
3632,0
3634,1
3635,1
3636,0
3638,0
3639,0
3641,0
3642,0
3643,0
3645,0
3658,0
3659,1
3660,0
3661,0
3664,0
3665,1
3667,0
3672,0
3673,0
3674,0
3676,0
3677,0
3682,0
3683,0
3684,0
3687,1
3691,0
3694,0
3696,0
3699,0
3705,1
3708,0
3709,0
3713,1
3714,0
3719,0
3721,0
3724,0
3726,0
3728,1
3729,0
3731,0
3732,0
3733,1
3734,0
3741,0
3742,0
3743,0
3745,0
3749,1
3751,0
3752,0
3758,0
3764,0
3767,0
3771,0
3772,0
3773,0
3774,0
3776,0
3779,0
3784,0
3785,0
3788,0
3789,0
3790,0
3793,1
3796,0
3797,0
3801,0
3804,1
3806,0
3808,1
3815,0
3816,0
3817,0
3818,0
3821,0
3822,1
3823,0
3825,0
3827,1
3828,0
3831,0
3832,1
3833,0
3834,0
3836,0
3838,1
3842,0
3845,0
3849,0
3851,0
3853,0
3855,1
3856,1
3858,1
3859,0
3860,1
3862,1
3864,0
3865,0
3866,0
3869,1
3870,0
3872,1
3873,0
3876,0
3878,1
3880,0
3884,0
3885,0
3888,0
3889,0
3893,0
3896,0
3899,0
3902,1
3904,0
3905,0
3906,1
3912,0
3916,0
3919,1
3921,1
3922,1
3925,0
3930,0
3931,0
3933,0
3934,0
3935,1
3936,1
3939,0
3948,1
3950,0
3951,1
3953,0
3955,0
3956,0
3959,0
3962,0
3965,0
3966,0
3969,1
3973,0
3975,0
3976,1
3983,0
3988,1
3989,0
