PerNo,PerStatus
1,0
3,0
7,1
15,0
16,0
18,0
19,1
22,0
23,1
24,1
26,0
31,1
34,0
35,1
40,0
41,0
43,0
45,0
51,0
55,0
56,0
57,0
59,0
62,0
65,1
68,1
69,0
71,0
72,1
73,1
78,0
80,1
84,0
85,1
87,0
89,1
96,0
98,0
100,0
102,0
107,0
109,0
112,0
113,0
118,0
120,0
121,1
128,0
133,0
135,0
137,0
138,0
140,0
143,1
145,0
146,1
147,1
150,0
153,0
155,1
158,0
159,0
160,1
162,0
163,1
165,1
169,0
170,0
171,1
177,1
179,0
186,1
194,0
195,0
197,0
203,0
204,1
206,0
210,0
212,0
214,1
220,0
224,1
227,0
235,0
238,0
241,0
243,1
244,0
245,0
249,1
252,1
259,0
260,0
266,1
267,0
269,0
271,0
272,0
273,1
274,0
276,0
281,1
282,0
283,1
287,1
289,0
290,0
291,0
294,0
302,0
303,1
306,1
309,0
311,0
313,1
318,0
321,0
322,0
325,1
327,0
332,0
333,0
334,0
338,0
339,1
341,0
342,0
343,1
344,0
345,0
349,0
350,0
352,0
353,0
355,0
358,0
361,0
364,0
365,1
366,1
368,0
369,0
372,1
376,0
377,0
378,1
379,0
380,1
382,0
385,0
387,1
389,0
392,0
394,0
398,1
402,0
403,0
405,0
408,1
410,0
412,0
413,1
414,0
421,1
424,0
425,0
426,0
429,1
430,1
435,0
438,0
439,1
447,0
448,0
452,0
455,0
456,1
458,0
462,1
465,0
468,0
469,0
470,0
471,0
475,0
477,0
478,0
479,0
484,0
488,0
489,1
494,1
496,0
498,0
499,1
503,1
505,0
508,1
514,0
520,1
522,1
523,0
525,0
530,0
534,1
535,0
537,0
540,0
545,0
552,0
554,1
555,1
557,0
559,0
561,1
567,0
569,0
574,0
576,0
583,1
585,1
586,0
589,1
590,0
594,0
597,0
598,0
599,0
603,0
604,0
609,0
614,0
619,0
621,1
622,1
623,1
629,0
633,1
634,0
636,1
637,0
641,0
643,0
648,0
649,1
650,1
651,0
656,1
658,1
659,0
660,1
662,1
663,0
664,0
666,1
667,0
670,1
671,0
672,0
675,1
676,0
677,0
678,1
679,0
684,0
686,1
694,0
699,0
703,0
707,0
709,1
711,0
713,0
718,0
723,0
728,1
730,0
731,0
732,0
734,0
735,0
736,1
737,0
739,1
740,0
741,0
743,0
744,1
748,0
749,0
750,0
751,0
754,0
755,0
756,0
760,1
762,0
764,0
766,0
767,0
769,0
770,1
771,1
772,0
774,0
779,0
781,0
782,0
783,0
784,0
785,0
786,0
789,0
790,0
791,1
792,1
795,0
797,0
798,1
799,0
800,0
802,0
805,0
807,0
808,0
811,1
812,0
817,0
821,0
823,1
827,0
829,1
831,0
834,0
836,0
837,0
839,0
840,0
841,0
842,0
844,0
845,0
849,0
850,1
854,0
855,0
856,0
857,1
867,1
871,0
874,0
877,1
881,1
882,1
883,0
885,0
886,1
887,0
888,0
889,0
890,1
891,0
895,0
898,0
901,0
903,0
905,0
907,1
909,0
910,0
911,0
914,0
919,0
922,0
923,0
925,0
926,0
927,1
929,0
930,0
935,1
936,0
937,0
938,0
939,0
940,0
944,0
945,0
947,0
948,0
955,1
957,0
961,0
962,0
963,0
964,0
970,0
971,0
979,1
980,0
981,0
983,0
984,0
990,0
991,0
993,0
995,1
999,1
1002,0
1004,0
1005,0
1007,0
1008,0
1010,0
1011,0
1012,1
1013,0
1014,1
1016,1
1017,0
1018,0
1023,0
1026,0
1027,1
1029,1
1030,0
1032,0
1034,1
1035,0
1037,1
1039,0
1047,0
1048,0
1050,0
1053,0
1054,1
1056,0
1058,1
1060,1
1063,0
1066,0
1067,0
1068,1
1070,0
1071,0
1072,0
1075,0
1079,0
1080,0
1081,0
1083,1
1087,1
1088,1
1090,1
1093,1
1095,1
1102,0
1105,0
1109,1
1112,1
1113,0
1115,0
1117,0
1121,1
1123,1
1126,0
1128,0
1130,0
1131,0
1136,0
1138,0
1140,0
1141,0
1143,1
1145,1
1147,1
1153,1
1154,0
1155,1
1157,0
1161,1
1165,1
1167,1
1170,1
1171,1
1172,0
1173,0
1175,1
1177,0
1179,1
1180,0
1182,1
1184,0
1186,0
1188,1
1189,0
1192,0
1198,1
1200,1
1201,0
1203,0
1216,1
1219,0
1222,0
1224,0
1227,0
1228,1
1229,0
1230,0
1232,0
1233,0
1235,1
1236,0
1237,0
1239,0
1240,0
1242,0
1243,1
1244,1
1245,1
1250,0
1251,0
1254,1
1259,1
1261,0
1262,0
1264,1
1265,0
1268,0
1269,0
1271,0
1273,1
1275,1
1280,0
1286,0
1289,0
1292,1
1293,0
1294,0
1301,0
1303,0
1306,1
1308,0
1311,0
1316,1
1318,1
1319,1
1320,0
1323,0
1324,0
1325,0
1326,0
1328,1
1329,0
1331,0
1332,0
1334,1
1342,0
1344,0
1351,0
1353,0
1357,1
1359,1
1363,0
1364,1
1369,0
1371,0
1383,0
1384,0
1387,0
1391,0
1393,0
1396,0
1401,0
1403,1
1409,0
1411,0
1415,0
1417,1
1425,1
1428,0
1431,0
1437,1
1440,0
1441,1
1443,1
1445,0
1447,0
1450,1
1452,0
1455,0
1461,1
1462,0
1466,0
1470,0
1476,1
1479,1
1483,1
1486,0
1489,0
1491,0
1499,0
1502,1
1503,0
1504,1
1508,0
1509,1
1511,1
1512,1
1513,1
1516,0
1519,1
1522,0
1525,0
1528,1
1530,0
1533,0
1534,1
1535,0
1540,0
1542,0
1543,0
1544,0
1547,1
1548,0
1557,0
1560,0
1564,1
1566,1
1569,1
1572,0
1574,1
1580,0
1583,0
1584,0
1586,1
1587,1
1600,0
1601,1
1605,0
1607,0
1608,1
1609,0
1611,0
1613,0
1617,0
1627,0
1628,0
1630,1
1632,0
1638,1
1647,0
1649,0
1651,0
1652,1
1653,1
1655,1
1656,1
1660,1
1663,1
1666,0
1667,0
1668,0
1669,0
1670,0
1674,0
1675,0
1680,0
1685,0
1688,0
1691,0
1693,0
1694,0
1698,0
1705,0
1706,1
1709,0
1712,0
1713,0
1714,0
1716,0
1722,1
1724,1
1728,0
1729,0
1736,0
1738,1
1739,0
1741,0
1742,1
1743,0
1744,0
1745,0
1747,0
1748,0
1749,0
1750,0
1751,0
1755,1
1756,1
1757,0
1761,0
1766,0
1771,0
1775,0
1779,1
1782,0
1783,1
1784,1
1785,0
1786,0
1790,0
1793,1
1796,0
1797,0
1805,0
1806,0
1807,1
1809,0
1812,1
1813,1
1815,1
1817,1
1822,0
1824,0
1826,0
1828,0
1829,0
1831,0
1832,0
1833,1
1834,0
1835,1
1836,0
1837,1
1838,1
1839,0
1840,0
1841,0
1843,1
1845,1
1846,1
1847,0
1850,1
1851,0
1854,0
1855,0
1858,0
1859,0
1860,0
1863,1
1864,0
1872,1
1875,0
1879,0
1880,1
1882,1
1885,0
1891,0
1892,0
1893,0
1896,0
1897,0
1898,1
1901,0
1903,0
1904,0
1905,0
1906,1
1907,0
1908,0
1909,0
1910,0
1911,1
1913,0
1914,0
1915,0
1917,1
1920,0
1926,1
1927,0
1930,1
1931,0
1935,0
1940,1
1944,0
1946,0
1951,0
1953,1
1957,1
1959,1
1962,0
1964,0
1965,0
1966,0
1970,1
1971,1
1972,0
1974,0
1976,0
1978,1
1980,0
1981,1
1984,0
1986,1
1989,0
1991,0
1992,1
1993,0
1994,0
1996,0
1998,0
2001,1
2002,0
2013,0
2016,1
2017,0
2021,0
2022,0
2023,0
2024,0
2025,0
2027,1
2032,0
2034,0
2036,0
2039,0
2041,0
2043,0
2045,0
2049,0
2050,0
2058,0
2063,0
2064,1
2065,0
2066,0
2068,0
2072,0
2073,1
2074,1
2075,1
2076,0
2077,0
2078,0
2080,1
2085,0
2088,1
2091,0
2095,0
2096,0
2097,0
2098,0
2099,1
2100,1
2101,1
2105,0
2106,0
2108,0
2109,1
2110,0
2113,1
2117,0
2118,1
2121,1
2122,0
2125,0
2129,1
2133,0
2134,0
2135,0
2137,0
2141,0
2143,0
2144,0
2145,1
2146,1
2148,1
2151,1
2152,0
2154,0
2156,0
2158,1
2159,1
2162,0
2164,0
2169,0
2176,0
2177,1
2178,0
2179,0
2181,1
2183,0
2190,0
2193,1
2194,0
2195,0
2196,0
2202,0
2206,0
2215,0
2216,1
2217,1
2218,1
2219,0
2220,0
2223,1
2224,1
2225,1
2227,1
2228,0
2234,0
2235,0
2237,0
2238,0
2245,1
2252,0
2253,0
2254,0
2255,1
2259,0
2260,0
2261,1
2262,0
2263,1
2265,1
2266,0
2268,0
2269,1
2271,0
2272,0
2282,1
2285,0
2286,0
2288,0
2291,1
2293,1
2294,1
2296,0
2298,0
2299,0
2300,1
2303,0
2305,0
2306,0
2311,0
2312,1
2313,1
2315,0
2316,0
2317,1
2318,1
2327,0
2329,1
2333,0
2334,0
2339,1
2341,0
2346,0
2349,0
2351,0
2353,0
2354,0
2356,1
2357,0
2360,0
2364,1
2365,1
2366,1
2369,0
2373,0
2374,0
2375,1
2377,0
2379,0
2383,1
2385,0
2389,0
2390,1
2395,0
2396,1
2399,0
2400,0
2401,0
2403,1
2404,0
2406,0
2408,0
2409,0
2411,1
2414,0
2415,1
2418,0
2419,0
2421,0
2423,0
2427,0
2430,0
2431,1
2433,1
2437,0
2439,1
2443,0
2444,0
2448,1
2450,0
2451,0
2454,0
2455,0
2458,1
2463,1
2465,1
2469,0
2471,0
2473,0
2474,0
2476,1
2477,0
2479,0
2486,0
2488,0
2490,1
2491,0
2492,0
2496,0
2498,1
2499,0
2502,0
2505,0
2506,0
2507,1
2509,0
2510,0
2515,1
2521,0
2525,1
2527,0
2529,0
2530,0
2531,0
2533,0
2535,1
2537,0
2538,1
2539,0
2541,0
2542,1
2543,1
2544,0
2547,0
2550,1
2551,0
2552,1
2555,0
2558,1
2561,1
2564,0
2567,0
2571,0
2574,1
2578,1
2580,1
2581,0
2582,1
2586,0
2588,0
2590,1
2591,0
2592,0
2594,0
2595,0
2596,0
2601,0
2603,0
2607,0
2608,0
2611,0
2613,1
2619,0
2620,1
2623,0
2624,0
2625,0
2626,0
2627,0
2629,0
2630,0
2632,0
2634,0
2638,1
2642,0
2643,0
2644,0
2647,0
2648,1
2650,1
2652,1
2657,0
2659,0
2663,1
2664,0
2665,1
2667,0
2668,0
2670,0
2672,1
2673,0
2674,1
2675,1
2677,1
2679,0
2690,0
2694,1
2698,0
2699,1
2701,0
2702,0
2703,0
2705,0
2707,1
2711,1
2714,0
2716,0
2723,0
2724,1
2725,0
2726,1
2727,0
2730,1
2731,0
2733,0
2736,0
2738,1
2739,0
2740,0
2742,1
2745,1
2746,1
2747,0
2750,0
2752,0
2754,1
2757,1
2760,0
2764,0
2765,0
2767,0
2770,0
2771,0
2774,0
2779,0
2786,0
2787,0
2790,1
2791,0
2797,0
2799,0
2803,0
2804,0
2807,1
2808,0
2809,0
2810,0
2813,0
2820,1
2824,1
2825,0
2826,1
2828,1
2831,0
2832,1
2833,0
2837,0
2838,0
2839,0
2841,1
2842,1
2843,1
2844,0
2846,1
2849,1
2851,1
2853,0
2857,0
2858,0
2860,1
2862,0
2863,1
2864,0
2865,0
2869,1
2873,1
2876,1
2880,0
2882,1
2886,0
2888,1
2894,0
2902,0
2906,0
2908,0
2909,1
2912,0
2913,0
2914,0
2919,0
2921,0
2923,0
2926,0
2927,1
2929,0
2931,1
2933,1
2934,1
2935,1
2938,1
2940,0
2945,0
2946,0
2949,0
2954,0
2960,1
2961,1
2963,1
2964,1
2966,0
2970,0
2973,0
2975,0
2979,0
2980,0
2981,0
2982,0
2987,0
2989,1
2991,0
2993,0
2995,0
2996,1
2997,0
3002,0
3003,0
3005,0
3008,1
3009,0
3011,0
3013,1
3016,0
3020,0
3021,0
3022,0
3023,0
3027,1
3028,0
3029,0
3031,0
3034,1
3041,0
3042,1
3044,1
3047,1
3049,0
3050,1
3051,0
3059,1
3060,1
3061,0
3063,0
3064,0
3066,0
3071,0
3074,1
3075,0
3076,0
3078,0
3079,0
3083,0
3085,1
3086,1
3087,1
3088,0
3092,0
3093,0
3095,0
3097,0
3098,0
3102,0
3109,0
3111,0
3114,0
3123,1
3125,0
3126,0
3129,0
3130,0
3131,1
3138,0
3140,0
3142,1
3146,0
3151,0
3152,0
3154,0
3159,1
3160,0
3161,1
3162,0
3165,0
3166,0
3171,1
3175,0
3176,0
3178,1
3179,0
3184,1
3186,1
3187,0
3190,1
3192,1
3193,0
3196,1
3198,1
3200,1
3201,1
3202,1
3204,0
3205,1
3206,0
3207,0
3208,0
3209,1
3212,0
3214,0
3221,1
3222,0
3225,0
3229,1
3231,0
3234,0
3237,0
3238,0
3239,0
3240,0
3241,1
3242,0
3246,0
3247,0
3251,0
3253,0
3254,0
3255,0
3257,0
3258,0
3259,0
3260,1
3261,0
3262,0
3263,0
3268,1
3269,1
3272,0
3273,1
3275,1
3278,0
3279,0
3283,0
3286,0
3288,0
3289,0
3294,0
3298,0
3299,0
3300,1
3301,0
3302,1
3303,0
3304,1
3307,1
3310,0
3311,0
3314,0
3318,0
3319,0
3320,0
3322,0
3325,0
3326,0
3327,0
3331,1
3333,1
3334,0
3338,0
3339,0
3340,0
3343,0
3344,0
3345,1
3352,0
3355,0
3357,0
3359,0
3360,0
3363,0
3364,1
3365,0
3367,0
3368,1
3369,0
3371,0
3373,0
3374,0
3375,1
3377,0
3378,0
3384,0
3388,1
3390,0
3393,1
3394,1
3397,0
3402,0
3404,0
3406,0
3409,1
3412,0
3413,1
3414,0
3415,1
3419,1
3420,0
3423,1
3431,0
3433,1
3440,0
3444,0
3445,0
3446,0
3448,1
3449,0
3450,0
3454,1
3455,0
3459,0
3462,1
3463,1
3464,1
3465,1
3468,0
3469,0
3476,1
3479,1
3481,0
3484,0
3488,0
3489,1
3492,0
3495,0
3497,0
3498,0
3499,0
3500,0
3501,0
3502,1
3503,0
3507,0
3510,0
3514,1
3515,0
3516,0
3520,0
3521,0
3524,0
3525,0
3526,0
3527,0
3528,0
3533,0
3534,0
3535,0
3536,0
3538,1
3541,1
3546,0
3549,0
3551,0
3552,0
3553,0
3556,0
3558,1
3559,1
3561,0
3563,0
3566,0
3574,0
3575,0
3578,0
3580,0
3582,0
3585,0
3588,0
3589,1
3593,0
3594,0
3595,1
3599,0
3600,0
3601,1
3603,0
3607,0
3608,1
3610,0
3611,0
3613,0
3615,0
3619,0
3620,0
3621,0
3625,1
3629,0
3630,0
3631,0
3632,0
3634,0
3635,0
3636,1
3638,0
3639,0
3641,0
3642,0
3643,1
3645,1
3658,0
3659,0
3660,0
3661,1
3664,1
3665,0
3667,0
3672,1
3673,0
3674,0
3676,0
3677,1
3682,0
3683,1
3684,0
3687,0
3691,1
3694,0
3696,1
3699,1
3705,0
3708,0
3709,1
3713,0
3714,0
3719,1
3721,0
3724,0
3726,0
3728,0
3729,0
3731,0
3732,1
3733,0
3734,1
3741,0
3742,0
3743,0
3745,0
3749,0
3751,0
3752,0
3758,0
3764,1
3767,0
3771,1
3772,1
3773,1
3774,0
3776,0
3779,0
3784,0
3785,0
3788,1
3789,0
3790,0
3793,0
3796,0
3797,0
3801,1
3804,0
3806,0
3808,0
3815,1
3816,0
3817,1
3818,0
3821,1
3822,0
3823,0
3825,1
3827,0
3828,1
3831,0
3832,0
3833,1
3834,0
3836,1
3838,0
3842,1
3845,1
3849,0
3851,0
3853,0
3855,1
3856,0
3858,0
3859,0
3860,0
3862,0
3864,0
3865,1
3866,1
3869,0
3870,0
3872,0
3873,1
3876,1
3878,0
3880,0
3884,0
3885,0
3888,0
3889,0
3893,0
3896,1
3899,1
3902,0
3904,0
3905,1
3906,0
3912,0
3916,0
3919,0
3921,0
3922,0
3925,1
3930,0
3931,1
3933,0
3934,0
3935,0
3936,0
3939,1
3948,0
3950,1
3951,0
3953,1
3955,1
3956,0
3959,0
3962,0
3965,1
3966,1
3969,0
3973,1
3975,0
3976,0
3983,0
3988,0
3989,0
